procédé;paramètre considéré;;nom cellule;valeur attribuée;unité;remarques
GENERALITES;;;;;;
SURPRESSEURS D'AIR;;surpresseur gamme pression valeur limite Px1;hyp_surpresseur_gamme_Px;6;mCE;obj: obtenir variation comme relèvement (défini avec G. MANIC, J-L. MILLION, P. JOUAFFRE)
;;surpresseur gamme pression valeur limite Px2;;8;mCE;obj: obtenir variation comme relèvement (défini avec G. MANIC, J-L. MILLION, P. JOUAFFRE)
;;surpresseur_gamme_debit_valeur limite Qx1;;;;non défini pour le moment
;;conso spec roots 0 -> Px1;hyp_surpresseur_conso_spec;5;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec roots Px1 -> Px2;;5;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec roots Px2 -> infini;;5;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec vis 0 -> Px1;;3.8;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec vis Px1 -> Px2;;3.8;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec vis Px2 -> infini;;3.8;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec turbo 0 -> Px1;;3.5;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec turbo Px1 -> Px2;;3.5;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;conso spec turbo Px2 -> infini;;3.5;Wh/(Nm3.mCE);manque retour expérience pour le moment (à compléter avec personnes citées ci-dessus)
;;Pmaximale conseillée pour les roots;hyp_surpresseur_roots_Pmax_conseillee;8;mCE;G. MANIC
DIFFUSION O2 (facteur K);;hauteur des diffuseurs dans les bassins de BA;hyp_insufflation_bulles_hauteur_diffuseur;0.25;m;BA, MBBR, HybAS
;;calcul de la surpression delta_P coef a0;hyp_insufflation_deltaP_a0;0.35;;
;;calcul de la surpression delta_P coef a1;hyp_insufflation_deltaP_a1;10.33;;
;;calcul Patm coef P0;hyp_calcul_Patm_coef;101325;Pa;
;;calcul Patm coef a0;;1;;
;;calcul Patm coef a1;;-2.25577e-05;;
;;calcul Patm coef a2;;5.25588;;
;;calcul O2 saturation à T,P0 coef a0;hyp_calcul_O2sat_T_P0_coef_a;14.628;;
;;calcul O2 saturation à T,P0 coef a1;;-0.4223;;
;;calcul O2 saturation à T,P0 coef a2;;0.0102;;
;;calcul O2 saturation à T,P0 coef a3;;-0.0002;;
;;calcul O2 saturation à T,P0 coef a4;;1e-06;;
;;facteur Bêta;hyp_calcul_facteurK_facteur_Beta;0.95;;compris entre 0,95 et 0,99
;;correctif T coef correction;hyp_transfertO2_facteurK_correction_T;1.024;;
;;correctif T valeur de Tréférence;hyp_transfertO2_facteurK_Tref;20;°C;
PARAMETRES BIOLOGIQUES;;assimilation du N;hyp_II_assimilation_N;0.05;kgN/kgDBOéliminée;
;;assimilation du P;hyp_II_assimilation_P;0.01;kgP/kgDBOéliminée;
;;besoins en O2 nit;hyp_ratio_O2_nit;4.57;kgO2/kgNnit;
;;besoins en O2 dénit;hyp_ratio_O2_denit;-2.86;kgO2/kgNdénit;négatif car on évite la consommation d'O2 grâce à l'O lié des nitrates
VALEURS ADMISES;;ratio de kg d'O2 par Nm3 air;hyp_ratio_kgO2_Nm3air;0.3;kgO2/Nm3air;
CONSTANTES;;masse volumique de l'effluent brut;hyp_masse_volumique_effluent_brut;1000;kg/m^3;
EAU;;;;;;
TRAITEMENT SULFURES;;valeur de sulfures limite risque de bulking et de filamenteuses;;10;mg/L;entre 10 et 20 mg/L suivant le Dochtech n°12
RELEVEMENT;;rdt centrifuge Q < 100 m3/h;hyp_relevement_rdt_pompe_Qnominal;0.637;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt centrifuge 100 m3/h < Q < 300 m3/h;;0.779;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt centrifuge Q > 300 m3/h;;0.798;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt pompe tube Q < 100 m3/h;;0;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt pompe tube 100 m3/h < Q < 300 m3/h;;0;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt pompe tube Q > 300 m3/h;;0.76;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt vis Archimède Q < 100 m3/h;;0;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt vis Archimède 100 m3/h < Q < 300 m3/h;;0.57;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt vis Archimède Q > 300 m3/h;;0.608;-;revu avec P. JOUAFFRE et C. AMIEL (07/11)
;;rdt Q/2 centrifuge Q < 100 m3/h;hyp_relevement_rdt_pompe_Q_2;0.609338336752294;-;Karassik (1/etah-1)/(1/etah0-1)=(N0/N)^017*(mu/mu0)^0,17 avec mu=mu0 et N=0,5*N0
;;rdt Q/2 centrifuge 100 m3/h < Q < 300 m3/h;;0.7580490958543538;-;d'après Karassik
;;rdt Q/2 centrifuge Q > 300 m3/h;;0.7783377759471269;-;d'après Karassik
